texts,labels,chatgpt answer,gpt3 answer,gpt2 answer,gpt2 score,bert answer,chatgpt_flip,gpt3_flip,bert_flip,chatgpt_pertubed,gpt3_perturbed,bert_pertubed,gpt2_pertubed,gpt2_pertubed_score,explanation_chatgpt,explanation_gpt3,gpt2_explanation,gpt2_explanation_score
at once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
the movie is like scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"in an era where big stars and high production values are standard procedure , narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a rather brilliant little cult item : a pastiche of children 's entertainment , superhero comics , and japanese animation . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",positive,positive,positive,positive,0.9998636245727539,negative,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
"the otherwise good-naturedness of mr. deeds , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ",positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
if you 're a fan of the series you 'll love it and probably want to see it twice . ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"it made me feel unclean , and i 'm the guy who liked there 's something about mary and both american pie movies . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ",positive,positive,positive,positive,0.9998636245727539,negative,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the narrator and the other characters try to convince us that acting transfigures esther , but she 's never seen speaking on stage ; one feels cheated , and esther seems to remain an unchanged dullard . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"as satisfyingly odd and intriguing a tale as it was a century and a half ago ... has a delightfully dour , deadpan tone and stylistic consistency . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"captivates as it shows excess in business and pleasure , allowing us to find the small , human moments , and leaving off with a grand whimper . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,0.9998636245727539
"like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six . ",negative,mixed,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"in his latest effort , storytelling , solondz has finally made a movie that is n't just offensive -- it also happens to be good ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror . ",positive,positive,positive,positive,0.9998636245727539,negative,positive,negative,negative,positive,negative,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a `` dungeons and dragons '' fantasy with modern military weaponry ... ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2 - hour , dissipated length . ",positive,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,positive,positive,0.9998636245727539
"'s the perfect star vehicle for grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"quite frankly , i ca n't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out . ",negative,negative,negative,positive,0.9998636245727539,negative,negative,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
", spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them ,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"if you can read the subtitles ( the opera is sung in italian ) and you like ` masterpiece theatre ' type costumes , you 'll enjoy this movie . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world 's democracie ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . ",positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,negative,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"berling and béart ... continue to impress , and isabelle huppert ... again shows uncanny skill in getting under the skin of her characters . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
", harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
", we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
befuddled in its characterizations as it begins to seem as long as the two year affair which is its subject ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
has made a movie that will leave you wondering about the characters ' lives after the clever credits roll . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"just when you think you are making sense of it , something happens that tells you there is no sense . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
playfully profound ... and crazier than michael jackson on the top floor of a skyscraper nursery surrounded by open windows . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"all the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of god in the fifth trek flick . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
", the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ... lies a plot cobbled together from largely flat and uncreative moments . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky `` pretty woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,positive,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
"usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails ",positive,positive,negative,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,0.9998636245727539
"is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy . ",positive,negative,negative,positive,0.9998636245727539,positive,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"in death to smoochy , we do n't get williams ' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing . ",positive,negative,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,negative,positive,positive,0.9998636245727539
a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams . ,positive,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units . ",negative,negative,positive,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,positive,positive,0.9998636245727539
"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
"peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"that brown played in american culture as an athlete , a movie star , and an image of black indomitability ",positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
you can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed . ,negative,negative,negative,positive,0.9998636245727539,positive,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"'s clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , ",positive,positive,positive,positive,0.9998636245727539,negative,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
is really closer to porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project ! ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"stale first act , scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes . ",negative,mixed,mixed,positive,0.9998636245727539,negative,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"'s a testament to de niro and director michael caton-jones that by movie 's end , we accept the characters and the film , flaws and all ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"comes not from any cinematic razzle-dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . ' ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"when not wallowing in its characters ' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"a fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
the santa clause 2 's plot may sound like it was co-written by mattel executives and lobbyists for the tinsel industry . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"his ( nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"it 's all arty and jazzy and people sit and stare and turn away from one another instead of talking and it 's all about the silences and if you 're into that , have at it ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"director elie chouraqui , who co-wrote the script , catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ? ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
